Write down four words to describe how you're feeling about this course. Separate your four words by commas.,Write down one word to describe how *you* think the majority of your classmates are feeling.,Write down one word to describe how *you* think the instructors are feeling.
"Sleepy, nervous, excited, imposter-syndromey",Nervous,Excited
"Fear, insecurity, fear, lack of self-confidence😭",normal,good
"Excited, Nice, keen, great",IDK,Keen
"terrified, nervous, anxious, unprepared",nervous,tired
"strangeness,excitement,worry,scared",strangeness,confident
Excited scared pray waiting ,Curious ,Excited 
"Anticipation, tension, pressure, uncertainty",stressful,Full of anticipation
"Nervous, curious, excited, ready",Curious ,Chill
"nervous, confused, excited, scared ",nervous ,enthusiastic 
"Unknown, looking forward, team’s, cooperative ",Progress together ,Collaborative 
"Nervous, excited, stressed, enthusiastic ",Nervous,Excited
"Excited, Nervous, Anxious, Useful",Unhappy ,Excited
"Confused, excited, worried, concerned",Confused,Excited
"Erm, what, the, sigma",Cooked,Skibidi
"Anxious, Curious, overwhelmed, excited, 1bananna$#@",Anxious,Anxious
"nervous, curious, tired, anxious ",nervous,glad
"nervous, nervous, nervous, excited",excited,excited
"Excited, curious, interested, hopeful ",Intrigued ,Excited 
nervous,nervous,nervous
"Anxious, unenthusiastic, irritated, forced",Nervous,Keen
nervous ，expectingly，difficult，group,friendly,kind
"Challenging, excited, determined, tired",Nervous,Joy
"nervous, excited, scared, ready",nervous,ready?
"uncertain, nervous, excited, hesitant",nervous,excited
"Curious, excited, anticipatory, energetic",Interested,happy 😊
"Curious, Anticipation, Anxiety, Challenging ",Curious ,Fun
"Excited, New, Unknowing, Ignorant",Apprehensive,Blaise
"curious, excited, nervous, mixed (feeling)",nervous,indifferent
"intrigued, curious, excited, interested",excited,excited
"exercise, nervous, challenging, useful",exciting,expecting
Have a little expectation,expect,happy
curious* confused*excited*expectant,confused,expected
"courious,complex,depth,engagement",courious ,enjoying
"Curious, Nervous, Interested, Excited",Curious,Excited
"nervous,anxious,hopeful,determined",Excited,Passionate
"Excited, Curious, Interested, Enthusiastic",Excited,Excited
expect，curious,confident,expect
"Excited, nervous, enthusiastic, interested",Nervous,Excited
"Nervous, excited, intrigued, glad",Nervous ,Neutral 
"active,cooperation,programming,magic",hard,challenged
"Apprehensive, interested, (mildly) enthusiastic, nervous",Nervous,Excited
good,enjoy ,comfortable 
"nervous, worried, anxious, excited",nervous,excited
"Nervous, worried, unsure, determined",Nervous,Anticipatory
"Nervous, excited, optimistic, hopeful",Excited,Hopeful
"Nervous, excited, expectant, stresses",stresses,gentle
"Excited, Curios, Nervous, Motivated",Nervous,Stressed
"excited, nervous, interested, stressed",nervous,excited
curious,excited,excited
"Expected, excited, nervous, happy",Expected ,Good
"anxious, curious, hopeful, pressured",anxious,optimistic
"Curious, excited, interested, motivated",Nervous,Excited
"excited, nervous, stressed, anxious",nervous,excited
"Tired, relieved, scared, nervous",look forward,look forward
"Apprehensive, excited, blind, optimistic",Apprehensive,Excited
