"first_feeling","second_feeling","third_feeling","fourth_feeling","majority_feeling_guess","instructor_feeling_guess"
"sleepy","nervous","excited","imposter","nervous","excited"
"fear","insecurity","fear","lack","normal","good"
"excited","nice","keen","great","idk","keen"
"terrified","nervous","anxious","unprepared","nervous","tired"
"strangeness","excitement","worry","scared","strangeness","confident"
"excited","scared","pray","waiting","advance","participated"
"anticipation","tension","pressure","uncertainty","stressful","expected"
"nervous","curious","excited","ready","expected","chill"
"nervous","confused","excited","scared","complex","stressed"
"unknown","looking","forward","team","expected","happy"
"nervous","excited","stressed","enthusiastic","nervous","excited"
"excited","nervous","anxious","useful","excited","excited"
"confused","excited","worried","concerned","confused","excited"
"erm","what","the","sigma","cooked","skibidi"
"anxious","curious","overwhelmed","excited","anxious","anxious"
"nervous","curious","tired","anxious","nervous","glad"
"nervous","nervous","nervous","excited","excited","excited"
"excited","curious","interested","hopeful","advance","excited"
"anxious","unenthusiastic","irritated","forced","nervous","keen"
"nervous","expectingly","difficult","group","friendly","kind"
"challenging","excited","determined","tired","nervous","joy"
"nervous","excited","scared","ready","nervous","participated"
"uncertain","nervous","excited","hesitant","nervous","excited"
"curious","excited","anticipatory","energetic","interested","expected"
"curious","anticipation","anxiety","challenging","expected","fun"
"excited","new","unknowing","ignorant","apprehensive","blaise"
"curious","excited","nervous","mixed","nervous","indifferent"
"intrigued","curious","excited","interested","excited","excited"
"exercise","nervous","challenging","useful","exciting","expecting"
"have","a","little","expectation","expect","happy"
"curious","confused","excited","expectant","confused","expected"
"courious","complex","depth","engagement","complex","enjoying"
"curious","nervous","interested","excited","curious","excited"
"nervous","anxious","hopeful","determined","excited","passionate"
"excited","curious","interested","enthusiastic","excited","excited"
"excited","nervous","enthusiastic","interested","nervous","excited"
"nervous","excited","intrigued","glad","expected","stressed"
"active","cooperation","programming","magic","hard","challenged"
"apprehensive","interested","mildly","enthusiastic","nervous","excited"
"nervous","worried","anxious","excited","nervous","excited"
"nervous","worried","unsure","determined","nervous","anticipatory"
"nervous","excited","optimistic","hopeful","excited","hopeful"
"nervous","excited","expectant","stresses","stresses","gentle"
"excited","curios","nervous","motivated","nervous","stressed"
"excited","nervous","interested","stressed","nervous","excited"
"expected","excited","nervous","happy","advance","good"
"anxious","curious","hopeful","pressured","anxious","optimistic"
"curious","excited","interested","motivated","nervous","excited"
"excited","nervous","stressed","anxious","nervous","excited"
"tired","relieved","scared","nervous","expected","excited"
"apprehensive","excited","blind","optimistic","apprehensive","excited"
"apprehensive","unsure","so","so","confident","excited"
"expected","curious","uncertain","excited","curious","confident"
"interested","unsure","excited","enthusiastic","confused","excited"
"nervous","curious","excited","anxious","nervous","excited"
"unsure","nervous","unique","scared","complex","participated"
"curious","nervous","optimistic","worried","curious","interested"
"excited","nervous","unprepared","positive","excited","confident"
"intrigued","unsure","excited","ready","unsure","excited"
"nervous","apprehensive","excited","cautious","nervous","excited"
"curious","interested","nervous","anxious","indifferent","dedicated"
"excited","ready","curious","happy","excited","proud"
"excited","nervous","curious","hopeful","nervous","keen"
"excited","curious","nervous","unsure","curious","anticipation"
"excited","scared","pessimistic","anxious","excited","optimistic"
"happy","interested","excited","nervous","excited","happy"
"interesting","easy","agog","useful","difficult","boring"
"motivated","excited","worried","nervous","excited","excited"
"interested","anxious","stressed","unknown","excited","prepared"
"excited","determined","social","teachable","social","bored"
"happy","excited","jpy","nervous","nervous","excited"
"curious","motivated","nervous","hopeful","uncertain","enthusiastic"
"fun","useful","excited","cooperative","fun","confident"
"nervous","excited","happy","intrigued","excited","stressed"
"excited","nervous","scared","shy","nervous","excited"
"nervous","expectant","excited","interested","nervous","expectant"
"expectation","practice","team","exercise","earnest","expect"
"stressed","sigh","overwhelmed","overthinking","advance","happy"
"excited","apprehensive","ready","intrigued","unsure","excited"
"excited","chill","worried","fine","worried","excited"
"nervous","curious","excited","stress","nervous","excited"
"excited","uncertain","curious","cumulative","unsure","curious"
"nervous","anticipated","worried","curious","nervous","knowledgeable"
"expect","nervous","curious","engaged","nervous","exciting"
"excited","nervous","thankful","happy","expected","excited"
"excited","curious","relaxed","interested","expected","expected"
"excited","confused","unknown","nervous","excited","stressed"
"nervous","excited","interesting","curious","nervous","excited"
"excited","nervous","curious","anxious","nervous","excited"
"sad","nervous","tired","anxious","advance","happy"
"nervous","excited","passionate","enthusiastic","excited","passionate"
"unsure","nervous","curious","bad","unsure","excited"
"curious","looking","forward","to","expected","happy"
"interesting","cooperative","important","useful","anticipation","ready"
"excited","nervous","beneficial","keen","nervous","excited"
"excited","nervous","enthusiastic","hopeful","complex","excited"
"worried","curious","anxious","lost","nervous","motivated"
"confused","curious","excited","nervous","curious","excited"
"cooperate","with","each","others","difficult","happy"
"curious","excited","excited","nervous","curious","excited"
"nervous","worried","curious","stressed","worried","participated"
"excited","nervous","curiosity","interested","interested","curiosity"
"curious","confident","exploring","collaborative","curious","anticipating"
"scared","nervous","uneasy","concerned","anxious","determined"
"neutral","anticipation","excitement","motivated","expected","eager"
"excited","enthusiastic","nervous","ready","nervous","excited"
"excited","nervous","ready","stressed","excited","excited"
"nervous","worried","curious","excited","advance","expected"
"worried","excited","nervous","new","expected","stressed"
"nervous","unsure","stressful","overwhelming","indifferent","excited"
"nervous","difficulty","curious","excited","curious","excited"
"excited","useful","nervous","hardworking","hardworking","calm"
"excited","worried","ready","confused","anxious","prepared"
"nervous","excited","scared","hopeful","nervous","repeated"
"unsure","interested","motivated","hopeful","anxious","hopeful"
"interesting","confused","curious","anticipating","anticipating","anticipating"
"cool","scary","chill","active","chill","chill"
"anxious","nervous","hopeful","ready","anxious","hopeful"
"excited","nervous","challenging","difficult","nervous","excited"
"nervous","excited","afraid","curious","nerivous","normally"
"unknown","expected","doubtful","hopeful","eager","good"
"unsure","excited","confused","interested","nervous","excited"
"analytical","communication","organisation","presentations","nervous","expect"
"nervous","excited","worried","optimistic","complex","excited"
"confused","open","interested","anxious","expected","happy"
"excited","nervous","curious","optimistic","excited","optimistic"
"multi","task","hard","tedious","challenge","happy"
"excited","interested","aprehensive","curious","depressed","scared"
"nervous","challenging","practical","complicate","nice","excited"
"excited","buzzing","nervous","confused","nervous","good"
"worried","concerned","dread","hope","excited","excited"
"interested","ready","anticipation","team","unsure","excited"
